x,y,z
0.190227870537717,0.391805112875427,0.404852246238475
0.190154024073003,0.392289820420199,0.404696376531553
0.189995414237915,0.392932267902226,0.404368277388891
0.190048737810429,0.393287359648433,0.404369276231965
0.190049348916794,0.393336484121767,0.404401363441581
0.189965571288395,0.394060064514521,0.404329943176651
0.189604802054264,0.394843108670224,0.404366894880442
0.188961726127685,0.395753054427916,0.404394598565846
0.188080327183595,0.396702649135869,0.404433105422874
0.186696709379805,0.397953262598931,0.404356131554379
0.186658769413764,0.397959320504533,0.404375644641644
0.186645201002189,0.397962139540408,0.404383790411643
0.186584809127691,0.397965997791762,0.404413498735576
0.186459695378315,0.397972351281894,0.404497156566413
0.185987699604551,0.398159991032037,0.404523457629774
0.184849051836513,0.398596497856756,0.40462638227394
0.183423520144649,0.399137553219951,0.404585052070738
0.182066169466512,0.39931158604009,0.404604185002763
0.181194615842773,0.398503559842475,0.404754123050827
0.180409548872008,0.397576061730024,0.405052774595961
0.179851558344986,0.396904329055835,0.405122051974616
0.179030924037725,0.395913429663012,0.405258825345212
0.178312740139026,0.394901665778395,0.405471986217701
0.17820388801121,0.39425199120255,0.405554414894201
0.178482655480791,0.393993352735043,0.405573532620912
0.178661219282696,0.393733671187193,0.405565131818918
0.178889756076048,0.39340763502441,0.405588619709314
0.179479562766437,0.392037130177583,0.405568753227678
0.179698379243046,0.390272331602595,0.405448236735743
0.179374723641576,0.388346763495379,0.405442320620668
0.180102870585028,0.387355706607644,0.405505381880151
0.180610855092363,0.386590617710267,0.40535187864492
0.180677307402803,0.38637021758418,0.405291922088361
0.181053310403702,0.385926376118169,0.405243001169013
0.181894228468536,0.384519822505587,0.404926534141806
0.181624015241451,0.383873150000023,0.404764965999157
0.181319464271961,0.383522755641835,0.404745228766478
0.18043645878316,0.382495983327912,0.405075991501769
0.179482214143342,0.381404898112482,0.405114406564379
0.17933205450437,0.381268477037419,0.40511905284061
0.179259248671093,0.381243835347964,0.405110575691631
0.17891047171483,0.380893880000243,0.405258272520093
0.177943685821025,0.379836424167567,0.405271083594518
0.177378770589583,0.379450005590536,0.405322621335069
0.176676897646134,0.379787035687194,0.405317214920406
0.174010211578916,0.380986588055449,0.405341240092981
0.171661538270544,0.382060480051991,0.405341455679422
0.169819849402146,0.38287079893111,0.405363439080705
0.168183862170477,0.383608453693083,0.405342954085659
0.166256036851044,0.384461014123818,0.405334818829319
0.164415056721084,0.385267644645217,0.405338370260384
0.163217670716574,0.385808309379018,0.405379935252353
0.16303221721047,0.386063621281688,0.405482604502479
0.162780730347062,0.386620733852634,0.405669031680019
0.162191815768884,0.388047580345039,0.406082055858033
0.161425059091713,0.390507656147946,0.406406318032418
0.162318094005697,0.391540013828593,0.406342401045405
